Source,Station,Latitude,Longitude,Region,Date,Datetime,DissAmmonia_Sign,DissAmmonia,DissNitrateNitrite_Sign,DissNitrateNitrite,DissOrthophos_Sign,DissOrthophos,Chlorophyll_Sign,Chlorophyll,Microcystis
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2020-05-15,2020-05-15 08:30:00,=,0.01,=,0.072,=,0.031,=,2.3,NA
USGS_CAWSC,USGS-11455142,38.34166667,-121.6438889,Cache/Liberty,2020-09-17,2020-09-17 12:15:00,< (estimated),0.01,=,0.254,=,0.093,=,5.3,NA
USGS_CAWSC,USGS-11455485,38.0778083,-121.767286,Lower Sac,2021-07-07,2021-07-07 09:30:00,< (estimated),0.01,=,0.17,=,0.074,=,2.9,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-04-15,2021-04-15 11:30:00,=,0.03,=,0.67,=,0.078,=,2,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2020-01-07,2020-01-07 09:45:00,=,0.16,=,0.43,=,0.06,=,1.2,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2021-09-28,2021-09-28 15:38:00,< (estimated),0.01,=,0.03,=,0.068,=,1.4,NA
USGS_CAWSC,USGS-11455485,38.0778083,-121.767286,Lower Sac,2021-09-21,2021-09-21 14:45:00,=,0.03,=,0.11,=,0.076,=,1.5,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2020-09-24,2020-09-24 13:15:00,=,0.02,=,0.197,=,0.077,=,NA,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2020-06-09,2020-06-09 08:44:00,=,0.03,=,0.3,=,0.085,=,0.6,NA
USGS_CAWSC,USGS-11336790,38.09638889,-121.496111,East Delta,2020-10-27,2020-10-27 09:15:00,=,0.04,=,0.27,=,0.069,=,2.2,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-11-11,2021-11-11 10:45:00,=,0.07,=,0.78,=,0.104,=,0.8,NA
USGS_CAWSC,USGS-11455276,38.3078583,-121.6924278,Cache/Liberty,2021-07-22,2021-07-22 11:49:00,< (estimated),0.01,< (estimated),0.01,=,0.2,=,3.5,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-11-17,2021-11-17 12:15:00,=,0.05,=,0.56,=,0.08,=,1.3,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-12-08,2021-12-08 12:00:00,=,0.03,=,0.58,=,0.081,=,1.6,NA
USGS_CAWSC,USGS-11455485,38.0778083,-121.767286,Lower Sac,2021-11-16,2021-11-16 13:15:00,=,0.12,=,0.55,=,0.084,=,1.1,NA
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2021-12-02,2021-12-02 10:45:00,=,0.04,=,0.19,=,0.044,=,0.7,NA
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2020-01-15,2020-01-15 16:15:00,=,NA,=,NA,=,NA,=,2.4,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-10-19,2021-10-19 12:00:00,< (estimated),0.01,=,0.09,=,0.061,=,2.5,NA
USGS_CAWSC,USGS-11311300,37.9925,-121.4538889,South Delta,2021-10-05,2021-10-05 09:49:00,=,0.05,=,0.88,=,0.218,=,1.6,NA
USGS_CAWSC,USGS-11455485,38.0778083,-121.767286,Lower Sac,2021-10-21,2021-10-21 11:45:00,=,0.03,=,0.14,=,0.059,=,2.7,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2021-08-18,2021-08-18 08:00:00,< (estimated),0.01,< (estimated),0.01,=,0.069,=,1.7,NA
USGS_CAWSC,USGS-11455140,38.34916667,-121.6447222,Cache/Liberty,2021-11-02,2021-11-02 09:45:00,=,0.06,=,0.38,=,0.381,=,NA,NA
USGS_CAWSC,USGS-11336790,38.09638889,-121.496111,East Delta,2020-01-14,2020-01-14 12:00:00,=,NA,=,NA,=,NA,=,1.1,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2020-06-24,2020-06-24 14:15:00,=,0.01,=,0.146,=,0.084,=,2,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-07-07,2021-07-07 13:45:00,< (estimated),0.01,=,0.05,=,0.102,=,12.2,NA
USGS_CAWSC,USGS-11312685,38.00305556,-121.5108333,South Delta,2021-07-28,2021-07-28 12:18:00,< (estimated),0.01,=,0.05,=,0.097,=,13.2,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-12-16,2021-12-16 11:00:00,=,0.05,=,0.52,=,0.069,=,NA,NA
USGS_CAWSC,USGS-11455095,38.47686944,-121.5836417,Cache/Liberty,2020-11-19,2020-11-19 14:30:00,< (estimated),0.01,=,0.18,=,0.14,=,3,NA
USGS_CAWSC,USGS-11455485,38.0778083,-121.767286,Lower Sac,2021-10-04,2021-10-04 13:07:00,=,0.05,=,0.14,=,0.077,=,1.9,NA
USGS_CAWSC,USGS-11455385,38.19395556,-121.6580028,Cache/Liberty,2021-04-05,2021-04-05 12:05:00,=,0.1,=,0.275,=,0.069,=,40.6,NA
USGS_CAWSC,USGS-382010121402301,38.33616667,-121.672925,Cache/Liberty,2021-10-04,2021-10-04 11:42:00,=,0.04,=,0.01,=,0.091,=,3.6,NA
USGS_CAWSC,USGS-11455095,38.47686944,-121.5836417,Cache/Liberty,2020-10-22,2020-10-22 11:15:00,< (estimated),0.01,=,0.14,=,0.144,=,5.6,NA
USGS_CAWSC,USGS-11336790,38.09638889,-121.496111,East Delta,2021-05-25,2021-05-25 15:00:00,=,0.03,=,0.18,=,0.083,=,1.8,NA
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2021-07-29,2021-07-29 10:25:00,< (estimated),0.01,=,0.06,=,0.026,=,1.3,NA
USGS_CAWSC,USGS-11455276,38.3078583,-121.6924278,Cache/Liberty,2021-09-28,2021-09-28 15:00:00,=,0.03,=,0.03,=,0.182,=,3.6,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2020-10-06,2020-10-06 10:50:00,=,0.05,=,0.162,=,0.091,=,2.2,NA
USGS_CAWSC,USGS-11455276,38.3078583,-121.6924278,Cache/Liberty,2021-10-04,2021-10-04 11:22:00,< (estimated),0.01,=,0.03,=,0.159,=,6.9,NA
USGS_CAWSC,USGS-11455315,38.2430111,-121.684286,Cache/Liberty,2021-11-16,2021-11-16 10:30:00,=,0.07,=,0.46,=,0.092,=,1,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-01-12,2021-01-12 12:30:00,=,NA,=,0.49,=,0.06,=,NA,NA
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2021-07-15,2021-07-15 08:45:00,=,NA,=,NA,=,NA,=,1.2,NA
USGS_CAWSC,USGS-11447890,38.25769218,-121.5182865,Upper Sac,2021-10-07,2021-10-07 13:14:00,=,NA,=,0.12,=,0.032,=,1,NA
USGS_CAWSC,USGS-11455142,38.34166667,-121.6438889,Cache/Liberty,2021-08-03,2021-08-03 12:30:00,< (estimated),0.01,=,0.15,=,0.104,=,3.1,NA
USGS_CAWSC,USGS-11311300,37.9925,-121.4538889,South Delta,2021-05-12,2021-05-12 11:30:00,< (estimated),0.01,=,1.14,=,0.188,=,4.3,NA
USGS_CAWSC,USGS-11455478,38.093252,-121.7371772,Lower Sac,2021-12-07,2021-12-07 15:00:00,=,NA,=,0.51,=,NA,=,NA,NA
USGS_CAWSC,USGS-11312685,38.00305556,-121.5108333,South Delta,2021-10-07,2021-10-07 10:13:00,< (estimated),0.01,=,0.1,=,0.07,=,1.7,NA
USGS_CAWSC,USGS-11455385,38.19395556,-121.6580028,Cache/Liberty,2021-03-03,2021-03-03 12:15:00,=,0.12,=,0.34,=,0.06,=,1.4,NA
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2021-06-22,2021-06-22 13:15:00,=,0.03,=,0.03,=,0.033,=,1.5,NA
USGS_CAWSC,USGS-11336790,38.09638889,-121.496111,East Delta,2021-12-08,2021-12-08 14:00:00,=,0.03,=,0.43,=,0.063,=,1,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-06-09,2021-06-09 14:50:00,=,0.02,=,0.18,=,0.083,=,NA,NA
USGS_CAWSC,USGS-11455142,38.34166667,-121.6438889,Cache/Liberty,2021-05-18,2021-05-18 10:15:00,< (estimated),0.01,=,0.18,=,0.085,=,5.2,NA
USGS_CAWSC,USGS-11455142,38.34166667,-121.6438889,Cache/Liberty,2021-02-18,2021-02-18 11:30:00,=,0.02,=,0.51,=,0.09,=,2.3,NA
USGS_CAWSC,USGS-11455276,38.3078583,-121.6924278,Cache/Liberty,2021-07-27,2021-07-27 13:37:00,< (estimated),0.01,< (estimated),0.01,=,0.217,=,2.4,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-04-27,2021-04-27 14:00:00,=,0.03,=,0.33,=,0.067,=,NA,NA
USGS_CAWSC,USGS-11447650,38.45601954,-121.5013437,Upper Sac,2021-02-24,2021-02-24 09:30:00,=,0.03,=,0.134,=,0.041,=,NA,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-04-28,2021-04-28 10:30:00,=,0.03,=,0.57,=,0.08,=,NA,NA
USGS_CAWSC,USGS-11312676,37.9427017,-121.5341175,OMR,2021-03-24,2021-03-24 23:00:00,=,NA,=,NA,=,NA,=,1.1,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-09-21,2021-09-21 11:00:00,< (estimated),0.01,=,0.09,=,0.072,=,2.1,NA
USGS_CAWSC,USGS-11337190,38.0521424,-121.6888428,Lower SJ,2021-03-03,2021-03-03 13:45:00,=,NA,=,0.65,=,0.07,=,NA,NA
