Date,Name,AvgCI,NonDetect,Low,Moderate,High,VeryHigh,InvalidOrMissing
2021-09-05,Franks Tract,1.758642857142857e-4,135,1,2,1,1,26
2021-09-05,Mildred Island,0,20,0,0,0,0,22
2021-09-06,Franks Tract,2.916205882352941e-4,132,1,0,1,2,30
2021-09-06,Mildred Island,0,22,0,0,0,0,20
2021-09-07,Franks Tract,0,98,0,0,0,0,68
2021-09-09,Franks Tract,0,129,0,0,0,0,37
2021-09-09,Mildred Island,0,24,0,0,0,0,18
2021-09-10,Franks Tract,0,140,0,0,0,0,26
2021-09-10,Mildred Island,0,22,0,0,0,0,20
2021-09-13,Franks Tract,0,141,0,0,0,0,25
2021-09-13,Mildred Island,0,24,0,0,0,0,18
2021-09-14,Franks Tract,0,122,0,0,0,0,44
2021-09-14,Mildred Island,0,16,0,0,0,0,26
2021-09-17,Franks Tract,0,139,0,0,0,0,27
2021-09-17,Mildred Island,0,21,0,0,0,0,21
2021-09-18,Franks Tract,0,132,0,0,0,0,34
2021-09-18,Mildred Island,0,17,0,0,0,0,25
2021-09-21,Franks Tract,0,112,0,0,0,0,54
2021-09-21,Mildred Island,0,14,0,0,0,0,28
2021-09-22,Franks Tract,0,124,0,0,0,0,42
2021-09-25,Franks Tract,0,107,0,0,0,0,59
2021-09-25,Mildred Island,0,20,0,0,0,0,22
2021-09-26,Franks Tract,0,86,0,0,0,0,80
2021-09-29,Franks Tract,0,103,0,0,0,0,63
2021-09-29,Mildred Island,0,19,0,0,0,0,23
2021-09-30,Franks Tract,0,121,0,0,0,0,45
2021-10-02,Franks Tract,0,129,0,0,0,0,37
2021-10-02,Mildred Island,0,19,0,0,0,0,23
2021-10-03,Franks Tract,4.603603603603604e-5,110,0,0,1,0,55
2021-10-03,Mildred Island,0,19,0,0,0,0,23
2021-10-04,Franks Tract,8.096774193548387e-4,56,0,0,6,0,104
2021-10-04,Mildred Island,0,18,0,0,0,0,24
2021-10-06,Franks Tract,9.128205128205129e-5,76,0,0,2,0,88
2021-10-07,Franks Tract,0,120,0,0,0,0,46
2021-10-10,Franks Tract,1.1052631578947368e-5,132,0,0,1,0,33
2021-10-10,Mildred Island,0,25,0,0,0,0,17
2021-10-11,Franks Tract,8.442622950819674e-6,121,0,0,1,0,44
2021-10-11,Mildred Island,0,24,0,0,0,0,18
2021-10-14,Franks Tract,0,129,0,0,0,0,37
2021-10-14,Mildred Island,0,20,0,0,0,0,22
2021-10-15,Franks Tract,0,124,0,0,0,0,42
2021-10-15,Mildred Island,0,15,0,0,0,0,27
2021-10-18,Franks Tract,0,98,0,0,0,0,68
2021-10-19,Franks Tract,0,114,0,0,0,0,52
2021-10-19,Mildred Island,0,19,0,0,0,0,23
2021-10-26,Franks Tract,0,104,0,0,0,0,62
2021-10-26,Mildred Island,0,24,0,0,0,0,18
2021-10-30,Franks Tract,0,53,0,0,0,0,113
2021-10-30,Mildred Island,0,24,0,0,0,0,18
