Date,Regions,mean_pixel_val
2020-11-30,Sacramento,NA
2020-11-30,San Joaquin,NA
2020-12-01,Central Delta,NA
2020-12-01,Sacramento,NA
2020-12-01,San Joaquin,NA
2020-12-02,Central Delta,0
2020-12-02,Sacramento,0.5826967358589172
2020-12-02,San Joaquin,0
2020-12-03,Central Delta,0
2020-12-03,Sacramento,0
2020-12-03,San Joaquin,0
2020-12-04,Central Delta,NA
2020-12-04,Sacramento,NA
2020-12-04,San Joaquin,NA
2020-12-05,Central Delta,0
2020-12-05,Sacramento,0.5903726816177368
2020-12-05,San Joaquin,0
2020-12-06,Central Delta,0
2020-12-06,Sacramento,0.5849764943122864
2020-12-06,San Joaquin,0
2020-12-07,Central Delta,1.7511111497879028
2020-12-07,Sacramento,2.620445966720581
2020-12-07,San Joaquin,3.9217441082000732
2020-12-08,Central Delta,NA
2020-12-08,Sacramento,NA
2020-12-08,San Joaquin,NA
2020-12-09,Central Delta,1.3754512071609497
2020-12-09,Sacramento,1.822771668434143
2020-12-09,San Joaquin,0
2020-12-10,Central Delta,0.22580644488334656
2020-12-10,Sacramento,1.0282896757125854
2020-12-10,San Joaquin,0
2020-12-11,Central Delta,NA
2020-12-11,Sacramento,NA
2020-12-11,San Joaquin,NA
2020-12-12,Central Delta,NA
2020-12-12,Sacramento,NA
2020-12-12,San Joaquin,NA
2020-12-13,Central Delta,NA
2020-12-13,Sacramento,NA
2020-12-13,San Joaquin,NA
2020-12-14,Central Delta,0
2020-12-14,Sacramento,1.0526843834668398e-4
2020-12-14,San Joaquin,0
2020-12-15,Central Delta,NA
2020-12-15,Sacramento,NA
2020-12-15,San Joaquin,NA
2020-12-16,Central Delta,NA
2020-12-16,Sacramento,NA
2020-12-16,San Joaquin,NA
2020-12-17,Central Delta,0
2020-12-17,Sacramento,0.5421741008758545
2020-12-17,San Joaquin,0
2020-12-18,Central Delta,0
2020-12-18,Sacramento,0.5371853113174438
2020-12-18,San Joaquin,0
2020-12-19,Central Delta,NA
2020-12-19,Sacramento,NA
2020-12-19,San Joaquin,NA
2020-12-20,Central Delta,NA
2020-12-20,Sacramento,NA
2020-12-20,San Joaquin,NA
2020-12-21,Central Delta,NA
2020-12-21,Sacramento,NA
2020-12-21,San Joaquin,NA
2020-12-22,Central Delta,NA
2020-12-22,Sacramento,NA
2020-12-22,San Joaquin,NA
2020-12-23,Central Delta,NA
2020-12-23,Sacramento,NA
2020-12-23,San Joaquin,NA
2020-12-24,Central Delta,NA
2020-12-24,Sacramento,NA
2020-12-24,San Joaquin,NA
2020-12-25,Central Delta,NA
2020-12-25,Sacramento,NA
2020-12-25,San Joaquin,NA
2020-12-26,Central Delta,0
2020-12-26,Sacramento,0
2020-12-26,San Joaquin,0
2020-12-27,Central Delta,NA
2020-12-27,Sacramento,NA
2020-12-27,San Joaquin,NA
2020-12-28,Central Delta,NA
2020-12-28,Sacramento,NA
2020-12-28,San Joaquin,NA
2020-12-29,Central Delta,0.39952534437179565
2020-12-29,Sacramento,0.6800795793533325
2020-12-29,San Joaquin,0.6839923858642578
2020-12-30,Central Delta,NA
2020-12-30,Sacramento,0
2020-12-30,San Joaquin,NA
2020-12-31,Central Delta,NA
2020-12-31,Sacramento,NA
2020-12-31,San Joaquin,NA
2021-05-01,Central Delta,0.029739776626229286
2021-05-01,Sacramento,0.8807830810546875
2021-05-01,San Joaquin,0
2021-05-02,Central Delta,0.7833333611488342
