Date,Name,Non_detect,Low,Moderate,High,Very_high,Invalid_or_missing
2021-08-26,Franks Tract,103,0,5,28,0,30
2021-08-26,Mildred Island,11,0,0,0,0,31
2021-08-29,Franks Tract,104,0,0,20,0,42
2021-08-29,Mildred Island,17,0,0,0,0,25
2021-08-30,Franks Tract,115,0,0,15,0,36
2021-08-30,Mildred Island,12,0,0,0,0,30
2021-09-02,Franks Tract,129,0,0,13,0,24
2021-09-02,Mildred Island,13,0,0,0,0,29
2021-09-03,Franks Tract,120,0,0,4,0,42
2021-09-05,Franks Tract,135,1,2,1,1,26
2021-09-05,Mildred Island,20,0,0,0,0,22
2021-09-06,Franks Tract,132,1,0,1,2,30
2021-09-06,Mildred Island,22,0,0,0,0,20
2021-09-07,Franks Tract,98,0,0,0,0,68
2021-09-09,Franks Tract,129,0,0,0,0,37
2021-09-09,Mildred Island,24,0,0,0,0,18
2021-09-10,Franks Tract,140,0,0,0,0,26
2021-09-10,Mildred Island,22,0,0,0,0,20
2021-09-13,Franks Tract,141,0,0,0,0,25
2021-09-13,Mildred Island,24,0,0,0,0,18
2021-09-14,Franks Tract,122,0,0,0,0,44
2021-09-14,Mildred Island,16,0,0,0,0,26
2021-09-17,Franks Tract,139,0,0,0,0,27
2021-09-17,Mildred Island,21,0,0,0,0,21
2021-09-18,Franks Tract,132,0,0,0,0,34
2021-09-18,Mildred Island,17,0,0,0,0,25
2021-09-21,Franks Tract,112,0,0,0,0,54
2021-09-21,Mildred Island,14,0,0,0,0,28
2021-09-22,Franks Tract,124,0,0,0,0,42
2021-09-25,Franks Tract,107,0,0,0,0,59
2021-09-25,Mildred Island,20,0,0,0,0,22
2021-09-26,Franks Tract,86,0,0,0,0,80
2021-09-29,Franks Tract,103,0,0,0,0,63
2021-09-29,Mildred Island,19,0,0,0,0,23
2021-09-30,Franks Tract,121,0,0,0,0,45
2021-10-02,Franks Tract,129,0,0,0,0,37
2021-10-02,Mildred Island,19,0,0,0,0,23
2021-10-03,Franks Tract,110,0,0,1,0,55
2021-10-03,Mildred Island,19,0,0,0,0,23
2021-10-04,Franks Tract,56,0,0,6,0,104
2021-10-04,Mildred Island,18,0,0,0,0,24
2021-10-06,Franks Tract,76,0,0,2,0,88
2021-10-07,Franks Tract,120,0,0,0,0,46
2021-10-10,Franks Tract,132,0,0,1,0,33
2021-10-10,Mildred Island,25,0,0,0,0,17
2021-10-11,Franks Tract,121,0,0,1,0,44
2021-10-11,Mildred Island,24,0,0,0,0,18
