Date,Name,mean_pixel_val
2020-10-20,Franks Tract,0.5254237055778503
2020-10-20,Mildred Island,0
2020-10-21,Franks Tract,0.6145276427268982
2020-10-21,Mildred Island,0
2020-10-22,Franks Tract,NA
2020-10-22,Mildred Island,NA
2020-10-23,Franks Tract,NA
2020-10-23,Mildred Island,NA
2020-10-24,Franks Tract,0
2020-10-24,Mildred Island,0
2020-10-25,Franks Tract,NA
2020-10-25,Mildred Island,NA
2020-10-26,Franks Tract,NA
2020-10-26,Mildred Island,NA
2020-10-27,Franks Tract,NA
2020-10-27,Mildred Island,NA
2020-10-28,Franks Tract,1.375957727432251
2020-10-28,Mildred Island,0
2020-10-29,Franks Tract,NA
2020-10-29,Mildred Island,0
2020-10-30,Franks Tract,NA
2020-10-30,Mildred Island,NA
2020-10-31,Franks Tract,NA
2020-10-31,Mildred Island,NA
2020-11-01,Franks Tract,0
2020-11-01,Mildred Island,0
2020-11-02,Franks Tract,0
2020-11-02,Mildred Island,0
2020-11-03,Franks Tract,NA
2020-11-03,Mildred Island,NA
2020-11-04,Franks Tract,NA
2020-11-04,Mildred Island,NA
2020-11-05,Franks Tract,0
2020-11-05,Mildred Island,0
2020-11-06,Franks Tract,NA
2020-11-06,Mildred Island,NA
2020-11-07,Franks Tract,NA
2020-11-07,Mildred Island,NA
2020-11-08,Franks Tract,0
2020-11-08,Mildred Island,NA
2020-11-09,Franks Tract,0.2177419364452362
2020-11-09,Mildred Island,0
2020-11-10,Franks Tract,0
2020-11-10,Mildred Island,0
2020-11-11,Franks Tract,NA
2020-11-11,Mildred Island,NA
2020-11-12,Franks Tract,0
2020-11-12,Mildred Island,0
2020-11-13,Franks Tract,NA
2020-11-13,Mildred Island,NA
2020-11-14,Franks Tract,NA
2020-11-14,Mildred Island,NA
2020-11-15,Franks Tract,NA
2020-11-15,Mildred Island,NA
2020-11-16,Franks Tract,0
2020-11-16,Mildred Island,0
2020-11-17,Franks Tract,NA
2020-11-17,Mildred Island,NA
2020-11-18,Franks Tract,NA
2020-11-18,Mildred Island,NA
2020-11-19,Franks Tract,NA
2020-11-19,Mildred Island,NA
2020-11-20,Franks Tract,0
2020-11-20,Mildred Island,0
2020-11-21,Franks Tract,1.4395784139633179
2020-11-21,Mildred Island,0
2020-11-22,Franks Tract,NA
2020-11-22,Mildred Island,NA
2020-11-23,Franks Tract,NA
2020-11-23,Mildred Island,NA
2020-11-24,Franks Tract,0
2020-11-24,Mildred Island,0
2020-11-25,Franks Tract,0
2020-11-25,Mildred Island,0
2020-11-26,Franks Tract,NA
2020-11-26,Mildred Island,NA
2020-11-27,Franks Tract,NA
2020-11-27,Mildred Island,NA
2020-11-28,Franks Tract,0
2020-11-28,Mildred Island,0
2020-11-29,Franks Tract,3.537074327468872
2020-11-29,Mildred Island,0
2020-11-30,Franks Tract,NA
2020-11-30,Mildred Island,NA
2020-12-01,Franks Tract,NA
2020-12-01,Mildred Island,NA
